"Totapuri Mango 2 Kg Box",,299,93154.8,77,Fruits,0,"Out of stock",'-238
"Bagging Langra Mango 2KG box",,280,113917,112,Fruits,0,"In stock",330
"Bagging Himshagor Mango 2 Kg Box",,274,114646,116,Fruits,0,"In stock",365
"Mustard Oil B2B 1 Litre",,194,51035,21,"Mustard Oil",0,"In stock",1588
"Bagging Amrupali Mango 1 Kg Bulk",,188,24087,28,Fruits,0,"Out of stock",'-181
"Himshagor Mango 1KG",,150,20815,24,Fruits,0,"In stock",539
"Totapuri Mango1 Kg Bulk",,129,18280,14,Fruits,0,"Out of stock",'-99
"Ghee B2B 1 Kg",,123,119335,7,Ghee,0,"In stock",757
"Harivanga Mango 2 Kg Box",,115,38465,40,Fruits,0,"Out of stock",'-58
"Nolen Gurer Rosogolla (নলেন গুড়ের রসগোল্লা)",,104,46297,29,Sweets,0,"Out of stock",'-218
"Harivanga Mango 1 Kg",,81,9590,12,Fruits,0,"Out of stock",'-30
"Bagging Amrupali Mango 1 Box 2KG",,67,19432,21,Fruits,0,"Out of stock",'-80
"Himshagor Mango 2kg 1 Box",,64,22268,28,Fruits,0,"In stock",178
"Extra Virgin Mustard Oil 900ml",,60,22500,17,"Mustard Oil",0,"In stock",416
"Deshi Ghee 400gm",,59,34606,21,Ghee,0,"Out of stock",'-50
"KachaMithai Anamika Mango 1KG",,50,7600,10,Fruits,0,"In stock",682
"Loitta Shutki (লইট্টা শুঁটকি) 125GM",,47,8371,6,Shutki,0,"Out of stock",'-79
"Shor er Tok Misti Doi 1KG",,37,12393,3,Sweets,0,"In stock",8
"Malta 1KG",,29,5015,1,Fruits,0,N/A,N/A
"Sundarbans Wild Honey (সুন্দরবনের আরণ্য মধু)",,28,14540,9,Honey,0,"In stock",359
"Bagging Langra Mango 2 Kg Box",,25,10890,16,Fruits,0,"In stock",37
"Churi Shutki 125GM",,23,5001.25,4,Shutki,0,"Out of stock",'-44
"Red Chingri Shutki 125GM",,22,6786.5,4,Shutki,0,"Out of stock",'-45
"Lakkha Shutki 125GM",,20,9763,3,Shutki,0,"Out of stock",'-43
"Ghee Retail 1KG",,16,11356,12,Ghee,0,"In stock",863
"Pahari Rupali Mango Bulk 1kg",,16,1880,4,Uncategorized,0,N/A,N/A
"Totapuri Mango 2 Kg Box",,15,4006,5,Fruits,0,"In stock",26
"Bagging Langra Mango 1 Kg",,14,2525,2,Fruits,0,"In stock",42
"Extra Virgin Mustard Oil 450ml",50,13,2650,2,"Mustard Oil",0,"In stock",6
"Gopalvog Mango Juice 1KG",,12,1200,1,Fruits,0,N/A,N/A
"Malta 1 Kg",,12,2280,3,Fruits,0,"In stock",128
"Lakkhonvog Mango Bulk 1KG",,10,1110,2,Fruits,0,N/A,N/A
"Boondi 1KG",,10,3510,1,Sweets,0,"Out of stock",'-155
"Kalojeera Honey (কালোজিরা ফুলের মধু)",,9,8295,2,Honey,0,"In stock",2
"Rasmalai (রসমালাই)",,8,4760,7,Sweets,0,"In stock",7
"Kachamitha Mango",,7,2730,4,Fruits,0,N/A,N/A
"Adi Rosogolla (আদি রসগোল্লা)",,7,3080,7,Sweets,0,"Out of stock",'-4
"Nolen gur er Chanar jilapi (নলেন গুড়ের ছানার জিলাপি)",,7,3225,7,Sweets,0,"In stock",3
"Peyara 1KG",,6,860,3,Fruits,0,N/A,N/A
"Kolkata Langcha (কলকাতা ল্যাংচা)",,6,2282,3,Sweets,0,"In stock",10
"Rupchanda Shutki (রূপচাঁদা শুঁটকি)",,6,3120,1,Shutki,0,"In stock",14
"Pantowa (পানতোয়া)",,6,2376,6,Sweets,0,"In stock",11
"Apple Green 1KG",,5,1210,4,Fruits,0,N/A,N/A
"Mustard Oil Retail 1KG",,5,1300,1,Ghee,0,"In stock",1489
"Nolen gur er Shondesh 1KG",,5,2975,5,Sweets,0,"In stock",15
"Papaya 1KG",,4,618,3,Fruits,0,N/A,N/A
"Shor er Misti Doi 1kg",,3,645,3,Sweets,0,"Out of stock",'-72
"Package 2 (Nolen Gur er Roshgolla 1kg+Wild Honey 500gm+Ghee 400gm+Mustard Oil 900ml+Bucket)",,2,5120,1,,0,N/A,N/A
"Bagerhat er Kheer Sondesh (বাগেরহাটের ক্ষীর সন্দেশ)",,2,1300,2,Sweets,0,"In stock",53
"South African Pears 1KG",,1,340,1,Fruits,0,N/A,N/A
Apple-Gala,,1,230,1,"Fruits, Offers",0,"In stock",89
